"category","height","n_clusters"
"biodiversidad",0.0927426933369657,12
"biodiversidad",0.10117384727669,10
"biodiversidad",0.109605001216414,8
"biodiversidad",0.118036155156138,8
"biodiversidad",0.126467309095862,8
"biodiversidad",0.134898463035587,8
"biodiversidad",0.143329616975311,8
"biodiversidad",0.151760770915035,7
"biodiversidad",0.160191924854759,6
"biodiversidad",0.168623078794483,6
"biodiversidad",0.177054232734207,6
"biodiversidad",0.185485386673931,6
"biodiversidad",0.193916540613656,6
"biodiversidad",0.20234769455338,6
"biodiversidad",0.210778848493104,5
"biodiversidad",0.219210002432828,5
"biodiversidad",0.227641156372552,5
"biodiversidad",0.236072310312276,5
"biodiversidad",0.244503464252001,5
"biodiversidad",0.252934618191725,5
"biodiversidad",0.261365772131449,5
"biodiversidad",0.269796926071173,5
"biodiversidad",0.278228080010897,5
"biodiversidad",0.286659233950621,5
"biodiversidad",0.295090387890346,5
"biodiversidad",0.30352154183007,4
"biodiversidad",0.311952695769794,4
"biodiversidad",0.320383849709518,4
"biodiversidad",0.328815003649242,4
"biodiversidad",0.337246157588966,4
"biodiversidad",0.34567731152869,4
"biodiversidad",0.354108465468415,4
"biodiversidad",0.362539619408139,4
"biodiversidad",0.370970773347863,4
"biodiversidad",0.379401927287587,4
"biodiversidad",0.387833081227311,3
"biodiversidad",0.396264235167035,3
"biodiversidad",0.40469538910676,3
"biodiversidad",0.413126543046484,3
"biodiversidad",0.421557696986208,3
"biodiversidad",0.429988850925932,2
"biodiversidad",0.438420004865656,2
"biodiversidad",0.44685115880538,2
"biodiversidad",0.455282312745105,2
"biodiversidad",0.463713466684829,2
"biodiversidad",0.472144620624553,2
"biodiversidad",0.480575774564277,2
"biodiversidad",0.489006928504001,2
"biodiversidad",0.497438082443725,2
"biodiversidad",0.50586923638345,2
"biodiversidad",0.514300390323174,2
"biodiversidad",0.522731544262898,2
"biodiversidad",0.531162698202622,2
"biodiversidad",0.539593852142346,2
"biodiversidad",0.54802500608207,2
"biodiversidad",0.556456160021794,2
"biodiversidad",0.564887313961519,2
"biodiversidad",0.573318467901243,2
"biodiversidad",0.581749621840967,2
"biodiversidad",0.590180775780691,2
"biodiversidad",0.598611929720415,2
"biodiversidad",0.607043083660139,2
"biodiversidad",0.615474237599864,2
"biodiversidad",0.623905391539588,2
"biodiversidad",0.632336545479312,2
"biodiversidad",0.640767699419036,2
"biodiversidad",0.64919885335876,2
"biodiversidad",0.657630007298484,2
"biodiversidad",0.666061161238208,2
"biodiversidad",0.674492315177933,2
"biodiversidad",0.682923469117657,2
"biodiversidad",0.691354623057381,2
"biodiversidad",0.699785776997105,2
